('the',) : 188100
('1559.',) : 1
('pánfilo',) : 1
('miruelo',) : 1
('early-19th',) : 1
('nautilus',) : 1
('rov',) : 1
('lcdr',) : 1
('ixc',) : 1
('kriegsmarine',) : 1
('seebeckwerft',) : 1
('schiff-',) : 1
('und',) : 1
('maschinenbau',) : 1
('ag',) : 1
('deschimag',) : 1
('wesermünde',) : 1
('bremerhaven',) : 1
('oberleutnant',) : 1
('zur',) : 1
('hans-günther',) : 1
('kuhlmann',) : 1
('7,593',) : 1
('grt',) : 1
('1,743',) : 1
('2,805',) : 1
('euphotic',) : 1
('current-yucatán',) : 1
('current-loop',) : 1
('usumacinta',) : 1
('amberjack',) : 1
('tilefish',) : 1
('aseismic',) : 1
('10:56',) : 1
('intraplate',) : 1
('unclos',) : 1
('chemosynthetic',) : 1
('nonchemosynthetic',) : 1
('benthos',) : 1
('meiofauna',) : 1
('macrofauna',) : 1
('crinoids',) : 1
('demersal',) : 1
('finfish',) : 1
('oil/gas',) : 1
('masculinization',) : 1
('estrogen',) : 1
('disproportioned',) : 1
('male-female',) : 1
('day-and-a-half',) : 1
('adm.',) : 1
('brice',) : 1
('skimmers',) : 1
('dispersants',) : 1
('12,000–19,000',) : 1
('18.7bn',) : 1
('54bn',) : 1
('fourchon',) : 1
('protraction',) : 1
('10–19',) : 1
('stanwood',) : 1
('double-check',) : 1
('flood-wall',) : 1
('nopd',) : 1
('commended',) : 1
('1110',) : 1
('pre-positioning',) : 1
('round-the-clock',) : 1
('r-in',) : 1
('immokalee',) : 1
('three-hundred',) : 1
('caregiving',) : 1
('1c',) : 1
('cataclysm',) : 1
('1,577',) : 1
('upper-bound',) : 1
('1,440',) : 1
('16.43',) : 1
('9:45m',) : 1
('mandeville',) : 1
('rigolets',) : 1
('13–16',) : 1
('4.0–4.9',) : 1
('dept',) : 1
('20,229',) : 1
('48,792',) : 1
('placquemines',) : 1
('7,212',) : 1
('still-flooded',) : 1
('coroners',) : 1
('27-foot',) : 1
('poplarville',) : 1
('louis–pass',) : 1
('biloxi–ocean',) : 1
('jourdan',) : 1
('diamondhead',) : 1
('kiln',) : 1
('louisiana-mississippi',) : 1
('porteaux',) : 1
('escatawpa',) : 1
('3.7–4.9',) : 1
('m/v',) : 1
('hopkinsville',) : 1
('ernie',) : 1
('acushnet',) : 1
('hydroplane',) : 1
('dover-foxcroft',) : 1
('sedgwick',) : 1
('sorrento',) : 1
('tadoussac',) : 1
('forestville',) : 1
('accountants',) : 1
('non-southern',) : 1
('219,563',) : 1
('insuring',) : 1
('redhead',) : 1
('oiled',) : 1
('meraux',) : 1
('skytruth',) : 1
('reestablishing',) : 1
('carjacking',) : 1
('retractions',) : 1
('7,841',) : 1
('46,838',) : 1
('m16s',) : 1
('sniping',) : 1
('honoré',) : 1
('applicants—families',) : 1
('quitting',) : 1
('18,700',) : 1
('codes—half',) : 1
('neologism',) : 1
('katrinagate',) : 1
('harshly',) : 1
('unhelpful',) : 1
('thad',) : 1
('cnn/usatoday/gallup',) : 1
('il-76',) : 1
('diapers',) : 1
('burners',) : 1
('fastercures',) : 1
('non-paid',) : 1
('346,980',) : 1
('205,360',) : 1
('596,810',) : 1
('826,590',) : 1
('satern',) : 1
('277,000',) : 1
('strock',) : 1
('river-gulf',) : 1
('shortcut',) : 1
('buffering',) : 1
('mashriqui',) : 1
('causalities',) : 1
('deep-draft',) : 1
('de-authorization',) : 1
('reconstructing',) : 1
('i-walls',) : 1
('unfolding',) : 1
('geraldo',) : 1
('wwl-am',) : 1
('simulcasted',) : 1
('whri',) : 1
('improvised',) : 1
('sites—especially',) : 1
('blogging',) : 1
('times-picayune',) : 1
('biloxi-based',) : 1
('teams—from',) : 1
('guard—which',) : 1
('post-katrina',) : 1
('symptom',) : 1
('five-to',) : 1
('birthweight',) : 1
('lacpr',) : 1
('hurriedly-repaired',) : 1
('katrina-damaged',) : 1
('catastrophic-to-severe',) : 1
('4,526',) : 1
('14,256',) : 1
('26,211',) : 1
('16.00',) : 1
('0740',) : 1
('claro',) : 1
('14,859',) : 1
('3,767',) : 1
('5,143',) : 1
('2,139',) : 1
('1,072',) : 1
('2,738',) : 1
('1,486',) : 1
('busses',) : 1
('4,335',) : 1
('kiowa',) : 1
('acute-care',) : 1
('2-185',) : 1
('1-184',) : 1
('wardens',) : 1
('dmats',) : 1
('7500',) : 1
('fuel-making',) : 1
('0.79/l',) : 1
('2.77/gal',) : 1
('inpatients',) : 1
('evacuation-destination',) : 1
('midland/odessa',) : 1
('snarled',) : 1
('gridlocked',) : 1
('24–36',) : 1
('12–18',) : 1
('gridlock',) : 1
('downplay',) : 1
('overheated',) : 1
('mobility-impaired',) : 1
('tenth-costliest',) : 1
('120.',) : 1
('bauta',) : 1
('5.13',) : 1
('tenraw',) : 1
('76.2',) : 1
('20:32',) : 1
('3:32',) : 1
('48–64',) : 1
('entergy',) : 1
('601,183',) : 1
('recently-and-hurriedly-repaired',) : 1
('gueydan',) : 1
('delcambre',) : 1
('deatonville',) : 1
('hebert',) : 1
('sweetlake',) : 1
('pre-rita',) : 1
('prien',) : 1
('minor-to-major',) : 1
('near-devastation',) : 1
('starks',) : 1
('ark-la-tex',) : 1
('29.05',) : 1
('.01',) : 1
('29.04',) : 1
('2,127',) : 1
('collaterally',) : 1
('wind-fallen',) : 1
('neches',) : 1
('nine-county',) : 1
('distressingly',) : 1
('wind-whipped',) : 1
('fire-weakened',) : 1
('yaga',) : 1
('2.5-mile-wide',) : 1
('fortuitous',) : 1
('makeover',) : 1
('prudently',) : 1
('lonoke',) : 1
('2,976',) : 1
('5/us',) : 1
('1.30/l',) : 1
('annualized',) : 1
('pritt',) : 1
('oregonian',) : 1
('186th',) : 1
('stryker',) : 1
('nccc',) : 1
('ert',) : 1
('/carnival',) : 1
('tarping',) : 1
('infusions',) : 1
('clearinghouse',) : 1
('warning/advisory',) : 1
('publicizing',) : 1
("nhc's/the",) : 1
('tpc',) : 1
('rappaport',) : 1
('knabb',) : 1
('wpc',) : 1
('tdau',) : 1
('subunit',) : 1
('point-of-contact',) : 1
('nhop',) : 1
('nwsop',) : 1
('within/between',) : 1
('noaa/nws',) : 1
('teleconferences',) : 1
('eocs',) : 1
('testbed',) : 1
('140°w–180°w',) : 1
('iona',) : 1
("'walaka",) : 1
('気象庁',) : 1
('kishō-chō',) : 1
('lmos',) : 1
('dmo',) : 1
('lmo',) : 1
('hakodate',) : 1
('maizuru',) : 1
('cns/atm',) : 1
('atmetc',) : 1
('volmet',) : 1
('chitose',) : 1
('kagoshima',) : 1
('nied',) : 1
('hypocenter',) : 1
('accelerometers',) : 1
('air-shock',) : 1
('€300',) : 1
('institut',) : 1
('transcoding',) : 1
('non-departmental',) : 1
('onnen',) : 1
('magnetisch',) : 1
('meteorologisch',) : 1
('observatorium',) : 1
('organization’s',) : 1
('2007-08',) : 1
('ravind',) : 1
('kumar',) : 1
('suva',) : 1
('ttf',) : 1
('nffn',) : 1
('nfna',) : 1
('ncrg',) : 1
('fuamotu',) : 1
('nftf',) : 1
('vavau',) : 1
('nftv',) : 1
('faleolo',) : 1
('nfsa',) : 1
('tarawa',) : 1
('ngta',) : 1
('plch',) : 1
('ngfu',) : 1
('aitutaki',) : 1
('ncai',) : 1
('manihiki',) : 1
('ncmh',) : 1
('penrhyn',) : 1
('ncpy',) : 1
('haapai',) : 1
('nftl',) : 1
('labasa',) : 1
('nfnl',) : 1
('rotuma',) : 1
('nfnr',) : 1
('swb',) : 1
('tda',) : 1
('wtps',) : 1
('whps',) : 1
('soe',) : 1
('9001',) : 1
('spate',) : 1
('government-wide',) : 1
('user-pays',) : 1
('deregulated',) : 1
('complies',) : 1
('pty',) : 1
('metraweather\u200c',) : 1
('\u200c',) : 1
('mm5',) : 1
('petteri',) : 1
('taalas',) : 1
('grimes',) : 1
('weather-',) : 1
('week’s',) : 1
('year’s',) : 1
('quality-assured',) : 1
('furthers',) : 1
('air-quality',) : 1
('myriads',) : 1
('wmo-led',) : 1
('climate-sensitive',) : 1
('public-',) : 1
('co-sponsoring',) : 1
('gcos',) : 1
('wcrp',) : 1
('gener-',) : 1
('ation',) : 1
('sdgs',) : 1
('nmhss',) : 1
('oceanographical',) : 1
('climat',) : 1
('temp',) : 1
('character-based',) : 1
('position-based',) : 1
('extensibility',) : 1
('bufr',) : 1
('geo-positioned',) : 1
('grib',) : 1
('1957/1958',) : 1
('www',) : 1
('igoss',) : 1
('ioc',) : 1
('1978/1979',) : 1
('wmo/unep',) : 1
('whycos',) : 1
('2015–2030',) : 1
('cop21',) : 1
('liechtenstein',) : 1
('non-members',) : 1
('non-member',) : 1
('center/typhoon',) : 1
('typhoon-proof',) : 1
('center/jtwc',) : 1
('“naval',) : 1
('center”',) : 1
('52-year',) : 1
('1-min',) : 1
('pangasiwaan',) : 1
('serbisyong',) : 1
('atmospero',) : 1
('heopisiko',) : 1
('astronomiya',) : 1
('pagˈasa',) : 1
('pag-asa',) : 1
('nmhs',) : 1
('colina',) : 1
('ateneo',) : 1
('nonell',) : 1
('meteorograph',) : 1
('angelo',) : 1
('seechi',) : 1
('friar',) : 1
('semaphore',) : 1
('aneroid',) : 1
('boletin',) : 1
('climaxed',) : 1
('philippine-american',) : 1
('expositions',) : 1
('geomagnetism',) : 1
('coronas',) : 1
('thereon',) : 1
('all-filipino',) : 1
('maximo',) : 1
('lachica',) : 1
('enemy-occupied',) : 1
('burnt-out',) : 1
('1945-1972',) : 1
('edilberto',) : 1
('parulan',) : 1
('officer-in-charge',) : 1
('technically-advanced',) : 1
('balagbag',) : 1
('photorecording',) : 1
('humility',) : 1
('sangley',) : 1
('aircraft-in-flight',) : 1
('.in',) : 1
('centenary',) : 1
('side-band',) : 1
('ecafe',) : 1
('escap',) : 1
('1130',) : 1
('computerization',) : 1
('phototransmission',) : 1
('ecafe/wmo',) : 1
('dnd',) : 1
('1149',) : 1
('dzca',) : 1
('basins.the',) : 1
('unesco-sponsored',) : 1
('accelerograph',) : 1
('minolta',) : 1
('angat',) : 1
('pantabangan',) : 1
('magat',) : 1
('binga',) : 1
('ambuklao',) : 1
('phivolc',) : 1
('phivolcs',) : 1
('post-1986',) : 1
('agrometeorology',) : 1
('vital/core',) : 1
('agham',) : 1
('10692',) : 1
('pagcor',) : 1
('weathercasters',) : 1
('aug',) : 1
('prisco',) : 1
('undersecretary',) : 1
('graciano',) : 1
('ondoy',) : 1
('baler',) : 1
('cellsite',) : 1
('montalban',) : 1
('flashfloods',) : 1
('lews',) : 1
('13°n',) : 1
('\ufeff13°n',) : 1
('/ˈfɪlɪpiːnz/',) : 1
('ˌpɪlɪˈpinɐs',) : 1
('ˌfɪlɪˈpinɐs',) : 1
('republika',) : 1
('endows',) : 1
('eighth-most',) : 1
('homonhon',) : 1
('felipinas',) : 1
('poniente',) : 1
('malolos',) : 1
('filipina',) : 1
('1935–46',) : 1
('metatarsal',) : 1
('callao',) : 1
('uranium-series',) : 1
('tabon',) : 1
('carbon-dated',) : 1
('theorizes',) : 1
('solheim',) : 1
('peopling',) : 1
('transpired',) : 1
('sundaland',) : 1
('malayo-polynesians',) : 1
('out-of-taiwan',) : 1
('hypothesizes',) : 1
('austronesians',) : 1
('liangzhu',) : 1
('exquisitely',) : 1
('plutocracies',) : 1
('proleptic',) : 1
('inscription—the',) : 1
('1st–14th',) : 1
('barangic',) : 1
('indianized',) : 1
('sinocentric',) : 1
('historiographers',) : 1
('debtor-bondsmen',) : 1
('alipin',) : 1
('oripun',) : 1
('dulohan',) : 1
('variedly',) : 1
('900–1589',) : 1
('diwata',) : 1
('medang',) : 1
('ethnographers',) : 1
('yongle',) : 1
('ko',) : 1
("ch'a-lao",) : 1
('1339',) : 1
('1001–1756',) : 1
('bata',) : 1
('shaja',) : 1
('ruling-class',) : 1
('champa',) : 1
('1200–1569',) : 1
('puppet-rajah',) : 1
('makatunao',) : 1
('guerrilla-state',) : 1
('puti',) : 1
('marikudo',) : 1
('pannai',) : 1
('1200–1565',) : 1
('rajamuda',) : 1
('lumay',) : 1
('kutai',) : 1
('1258–1571',) : 1
('avirjirkaya',) : 1
('pre-muslim',) : 1
('luções',) : 1
('mercenaries',) : 1
('wangdom',) : 1
('1406–1576',) : 1
('1406–1411',) : 1
('1380',) : 1
('karim',) : 1
('makdum',) : 1
("shari'ful",) : 1
('hashem',) : 1
('bakr',) : 1
('johore',) : 1
('baguinda',) : 1
('shariff',) : 1
('kabungsuwan',) : 1
('lanao',) : 1
('islamized',) : 1
('1485',) : 1
('gambang',) : 1
('salalila',) : 1
('puppet-state',) : 1
('laila',) : 1
('mecana',) : 1
('ul-ombra',) : 1
('slave-raids',) : 1
('visayans',) : 1
('dapitan',) : 1
('inter-kingdom',) : 1
('conspirators',) : 1
('1571',) : 1
('warlord',) : 1
('limahong',) : 1
('tidore',) : 1
('ternatean',) : 1
('slaving',) : 1
('reconquista',) : 1
('centuries-long',) : 1
('rechristianize',) : 1
('aceh',) : 1
('papuan',) : 1
('re-concentrate',) : 1
('japan-born',) : 1
('ming-dynasty',) : 1
('koxinga',) : 1
('tungning',) : 1
('mexico-based',) : 1
('marquisate',) : 1
('buglas',) : 1
('quelled',) : 1
('spanish–moro',) : 1
('peninsulares',) : 1
('priests—mariano',) : 1
('gomburza',) : 1
('—were',) : 1
('sedition',) : 1
('magdalo',) : 1
('kawit',) : 1
('barasoain',) : 1
('rebellious',) : 1
('sub-states',) : 1
('cantonal',) : 1
('collaborator',) : 1
('bataan',) : 1
('osmeña',) : 1
('mid-1942',) : 1
('harass',) : 1
('already-promised',) : 1
('postcolonial',) : 1
('hukbalahap',) : 1
('elpidio',) : 1
('diosdado',) : 1
('embezzling',) : 1
('steadfast',) : 1
('separatists',) : 1
('rape-slay',) : 1
('sarmienta',) : 1
('gomez',) : 1
('echegaray',) : 1
('edsa',) : 1
('9-year',) : 1
('lrt',) : 1
('garci',) : 1
('police-special',) : 1
('mamasapano',) : 1
('impasse',) : 1
('pia',) : 1
('wurtzbach',) : 1
('pdp–laban',) : 1
('8888',) : 1
('anti-drug',) : 1
('armm',) : 1
('sectoral',) : 1
('romulo',) : 1
('non-nato',) : 1
('shoygu',) : 1
('delfin',) : 1
('lorenzana',) : 1
('russia-philippines',) : 1
('military-technical',) : 1
('ak-74m',) : 1
('kalashnikov',) : 1
('panteleyev',) : 1
('afp',) : 1
('seato',) : 1
('1,489',) : 1
('42,036',) : 1
('5446',) : 1
('calabarzon',) : 1
('ncr',) : 1
('22,549',) : 1
('116°',) : 1
('126°',) : 1
('4°',) : 1
('21°',) : 1
('apo',) : 1
('2,954',) : 1
('9,692',) : 1
('galathea',) : 1
('benham',) : 1
('taal',) : 1
('serene',) : 1
('mountain-to-the-sea',) : 1
('second-biggest',) : 1
('vertebrate',) : 1
('civet',) : 1
('tarsier',) : 1
('cobras',) : 1
('lolong',) : 1
('accipitridae',) : 1
('2,200,000',) : 1
('849,425',) : 1
('seaweeds',) : 1
('rafflesia',) : 1
('megadiversity',) : 1
('tag-init',) : 1
('tag-araw',) : 1
('tag-ulan',) : 1
('tag-lamig',) : 1
('habagat',) : 1
('amihan',) : 1
('1,168',) : 1
('bagyo',) : 1
('348.593',) : 1
('₱',) : 1
('40.813',) : 1
('eases',) : 1
('83.201',) : 1
('creditor',) : 1
('1966–2007',) : 1
('5.96',) : 1
('g-77',) : 1
('g-24',) : 1
('216,387',) : 1
('134,457',) : 1
('61,093',) : 1
('37,961',) : 1
('jeepneys',) : 1
('tricycles',) : 1
('4.55',) : 1
('ninoy',) : 1
('naia',) : 1
('pan-philippine',) : 1
('subic–clark–tarlac',) : 1
('lrt-1',) : 1
('lrt-2',) : 1
('mrt-3',) : 1
('dost-mirdc',) : 1
('pre-feasibility',) : 1
('bi-articulated',) : 1
('batangas',) : 1
('2go',) : 1
('sulpicio',) : 1
('919-kilometer',) : 1
('srnh',) : 1
('science-',) : 1
('technology-related',) : 1
('orosa',) : 1
('nip',) : 1
('soyalac',) : 1
('pediatrician',) : 1
('pediatrics',) : 1
('barba',) : 1
('horticulturist',) : 1
('baños',) : 1
('adjudication',) : 1
('kbit/s',) : 1
('1,226,500',) : 1
('2,433,428',) : 1
('58.78',) : 1
('19.28',) : 1
('10.64',) : 1
('boracay',) : 1
('glaring',) : 1
('banaue',) : 1
('lwua',) : 1
('high-profle',) : 1
('5,567,685',) : 1
('2005–2010',) : 1
('71.94',) : 1
('75.03',) : 1
('68.99',) : 1
('11,553,427',) : 1
('₱468.4',) : 1
('visayans/bisaya',) : 1
('non-tribal',) : 1
('pangasinense',) : 1
('igorot',) : 1
('lumad',) : 1
('mangyan',) : 1
('bajau',) : 1
('austronesian-speaking',) : 1
('ocean-sailing',) : 1
('negrito',) : 1
('aeta',) : 1
('13.33',) : 1
('britons',) : 1
('ethnologue',) : 1
('mexican-spanish',) : 1
('aklanon',) : 1
('kinaray-a',) : 1
('maranao',) : 1
('sambal',) : 1
('surigaonon',) : 1
('tausug',) : 1
('yakan',) : 1
('cuyonon',) : 1
('itbayat',) : 1
('kamayo',) : 1
('kankanaey',) : 1
('masbateño',) : 1
('romblomanon',) : 1
('80.58',) : 1
('professed',) : 1
('restorationist',) : 1
("shafi'i",) : 1
('67.1',) : 1
('usd52',) : 1
('₱28',) : 1
('usd597',) : 1
('₱310',) : 1
('5727',) : 1
('90,370',) : 1
('833',) : 1
('480,910',) : 1
('43,220',) : 1
('769',) : 1
('1,965',) : 1
('immunodeficiency',) : 1
('636',) : 1
('17,450',) : 1
('5,965',) : 1
('anti-retroviral',) : 1
('low-hiv-prevalence',) : 1
('hiv-positive',) : 1
('86.45',) : 1
('84.2',) : 1
('16.11',) : 1
('2,180',) : 1
('non-formal',) : 1
('tesda',) : 1
('madaris',) : 1
('mainstreamed',) : 1
('suc',) : 1
('lcu',) : 1
('ati-atihan',) : 1
('moriones',) : 1
('sinulog',) : 1
('bayanihan',) : 1
('legacies',) : 1
('narciso',) : 1
('clavería',) : 1
('zaldua',) : 1
('goldilocks',) : 1
('jollibee',) : 1
('paoay',) : 1
('tomás',) : 1
('hispanic-style',) : 1
('semblance',) : 1
('batanes',) : 1
('idjangs',) : 1
('koyu',) : 1
('tebulul',) : 1
("t'boli",) : 1
('ambo',) : 1
('kulintang',) : 1
('mandolin',) : 1
('plectrum',) : 1
('plectrums',) : 1
('tortoise-shell',) : 1
('rondalla',) : 1
('bandurria',) : 1
('laúd',) : 1
('octavina',) : 1
('twelve-string',) : 1
('ukulele',) : 1
('bajo',) : 1
('uñas',) : 1
('guitarrón',) : 1
('filipino-made',) : 1
('harana',) : 1
('kundiman',) : 1
('adonay',) : 1
('simplicio',) : 1
('conseco',) : 1
('paterno',) : 1
('spanish-influence',) : 1
('madrigal',) : 1
('mimicry',) : 1
('bandurrias',) : 1
('percussive',) : 1
('mingle',) : 1
('graze',) : 1
('street-oriented',) : 1
('breakdancing',) : 1
('earthenware',) : 1
('abaca',) : 1
('bulols',) : 1
('bountiful',) : 1
('beveled',) : 1
('okkil',) : 1
('adoration',) : 1
('sculpt',) : 1
('adorn',) : 1
('damián',) : 1
('amorsolo',) : 1
('zóbel',) : 1
('sanction',) : 1
('hiya',) : 1
('amor',) : 1
('propio',) : 1
("'self-esteem",) : 1
('pessimism',) : 1
('friendliness',) : 1
('respectfulness',) : 1
('abhorrence',) : 1
('thievery',) : 1
('palate',) : 1
('paellas',) : 1
('cocidos',) : 1
('sinigang',) : 1
('kare-kare',) : 1
('tapa',) : 1
('crispy',) : 1
('pata',) : 1
('pancit',) : 1
('lumpia',) : 1
('halo-halo',) : 1
('milkfish',) : 1
('buds',) : 1
('cutlery',) : 1
('broth',) : 1
('boodle',) : 1
('viands',) : 1
('filial',) : 1
('aswang',) : 1
('manananggal',) : 1
('diwata/engkanto',) : 1
('makiling',) : 1
('lam-ang',) : 1
('sarimanok',) : 1
('adarna',) : 1
('huseng',) : 1
('sisiw',) : 1
('balagtas',) : 1
('florante',) : 1
('tángere',) : 1
('filibusterismo',) : 1
('filibustering',) : 1
('arcellana',) : 1
('sionil',) : 1
('abs-cbn',) : 1
('tv5',) : 1
('broadsheets',) : 1
('tabloids',) : 1
('unending',) : 1
('asianovelas',) : 1
('bulaga',) : 1
('lino',) : 1
('brocka',) : 1
('aunor',) : 1
('mga',) : 1
('kuko',) : 1
('liwanag',) : 1
('himala',) : 1
('flitting',) : 1
('salón',) : 1
('pertierra',) : 1
('lumiere',) : 1
('panorama',) : 1
('escenas',) : 1
('callejeras',) : 1
('nepomuceno',) : 1
('dalagang',) : 1
('bukid',) : 1
('cine',) : 1
('intramuros',) : 1
('gramophone',) : 1
('200-man',) : 1
('lapu-lapu',) : 1
('porn',) : 1
('sampaguita',) : 1
('box-office',) : 1
('billiards',) : 1
('ten-pin',) : 1
('sipa',) : 1
('mountaineering',) : 1
('pacquiao',) : 1
('bwaa',) : 1
('wbc',) : 1
('wbo',) : 1
('arnis',) : 1
('eskrima',) : 1
('kali',) : 1
('american-led',) : 1
('luksung',) : 1
('baka',) : 1
('patintero',) : 1
('piko',) : 1
('tumbang',) : 1
('preso',) : 1
('sungka',) : 1
('pusoy',) : 1
('tong-its',) : 1
('sabong',) : 1
('chronicler',) : 1
('taytay',) : 1
('yo-yo',) : 1
('kataˈɾinɐ',) : 1
('scale—on',) : 1
('balneário',) : 1
('gaivota',) : 1
('morphologies',) : 1
('organization-affiliated',) : 1
('aldonça',) : 1
('01t-alpha',) : 1
('50l-noname',) : 1
('01l',) : 1
('90l',) : 1
('99l',) : 1
('mampituba',) : 1
('infrequency',) : 1
('20°w',) : 1
('2-equivalent',) : 1
('previously-unofficial',) : 1
('sl90',) : 1
('2.0525',) : 1
('mortem',) : 1
('center-brazilian',) : 1
('smm',) : 1
('goytacazes',) : 1
('bumped',) : 1
('baroclincity',) : 1
('20-ft',) : 1
('south-southeastwards',) : 1
('brst',) : 1
('pre-2004',) : 1
('2004–2009',) : 1
('aracaju',) : 1
('metsul',) : 1
('redondo',) : 1
('278.2',) : 1
('pelotas',) : 1
('cerrito',) : 1
('osório',) : 1
('bañado',) : 1
('pajas',) : 1
('departament',) : 1
('late-february',) : 1
('late-march',) : 1
('20ºw',) : 1
('\ufeff10°s',) : 1
('-52',) : 1
('/brəˈzɪl/',) : 1
('bɾaˈziw',) : 1
('federativa',) : 1
('7,491',) : 1
('4,655',) : 1
('5,570',) : 1
('breadbaskets',) : 1
('plentifully',) : 1
('pau-brasil',) : 1
('brasa',) : 1
('-il',) : 1
('-iculum',) : 1
('-ilium',) : 1
('assorted',) : 1
('pindorama',) : 1
('pre-cabraline',) : 1
('luzia',) : 1
('santarém',) : 1
('tupis',) : 1
('guaranis',) : 1
('gês',) : 1
('tupí',) : 1
('tupiniquins',) : 1
('tupinambás',) : 1
('cannibalistic',) : 1
('1532',) : 1
('governorate',) : 1
('bandeiras',) : 1
('1610s',) : 1
('dutch–portuguese',) : 1
('quilombo',) : 1
('palmares',) : 1
('repress',) : 1
('pluricontinental',) : 1
('monarchic',) : 1
('ploy',) : 1
('resentful',) : 1
('impatient',) : 1
('pernambucan',) : 1
('swore',) : 1
('alcântara',) : 1
('cisplatina',) : 1
('dissensions',) : 1
('unreconciled',) : 1
('absolutists',) : 1
('abdicating',) : 1
('cabanagem',) : 1
('grão-pará',) : 1
('malê',) : 1
('balaiada',) : 1
('sabinada',) : 1
('ragamuffin',) : 1
('giuseppe',) : 1
('praieira',) : 1
('cisplatine',) : 1
('platine',) : 1
('uruguayan',) : 1
('unfoldings',) : 1
('1914–1918',) : 1
('encilhamento',) : 1
('extinguished',) : 1
('constitutionalist',) : 1
('oligarchy',) : 1
('putsch',) : 1
('retaliations',) : 1
('nazi-fascist',) : 1
('jânio',) : 1
('quadros',) : 1
('goulart',) : 1
('transitory',) : 1
('condor',) : 1
('dictatorial',) : 1
('geisel',) : 1
('golbery',) : 1
('almost-unknown',) : 1
('itamar',) : 1
('plano',) : 1
('luiz',) : 1
('inácio',) : 1
('petrobras',) : 1
('trindade',) : 1
('martim',) : 1
('6°n',) : 1
('28°',) : 1
('74°w',) : 1
('8,515,767.049',) : 1
('3,287,956',) : 1
('55,455',) : 1
('21,411',) : 1
('utc−5',) : 1
('utc−4',) : 1
('utc−3',) : 1
('utc−2',) : 1
('scrublands',) : 1
('mantiqueira',) : 1
('espinhaço',) : 1
('neblina',) : 1
('9,823',) : 1
('paraná',) : 1
('iguazu',) : 1
('xingu',) : 1
('tapajós',) : 1
('starkly',) : 1
('cerrado',) : 1
('araucaria',) : 1
('pumas',) : 1
('ocelots',) : 1
('peccaries',) : 1
('opossums',) : 1
('timid',) : 1
('scavenger',) : 1
('scarred',) : 1
('indissoluble',) : 1
('state/federal',) : 1
('illiterates',) : 1
('psdb',) : 1
('pmdb',) : 1
('dem',) : 1
('non-codified',) : 1
('doctrinal',) : 1
('leis',) : 1
('orgânicas',) : 1
('judgments',) : 1
('rulings',) : 1
('reservist',) : 1
('parachutist',) : 1
('geraes-class',) : 1
('dreadnought',) : 1
('grumec',) : 1
('nae',) : 1
('non-confrontational',) : 1
('in-kind',) : 1
('south-south',) : 1
('alagoas',) : 1
('64.7',) : 1
('central-west',) : 1
('comarca',) : 1
('77th',) : 1
('bric',) : 1
('corned',) : 1
('managed-float',) : 1
('free-float',) : 1
('mid-2002',) : 1
('repaid',) : 1
('193.8',) : 1
('7012',) : 1
('doce',) : 1
('surpasses',) : 1
('divulge',) : 1
('durables',) : 1
('campinas',) : 1
('pre-salt',) : 1
('6.36',) : 1
('pantanal',) : 1
('28st',) : 1
('116th',) : 1
('114th',) : 1
('128th',) : 1
('slow-down',) : 1
('foz',) : 1
('oswaldo',) : 1
('butantan',) : 1
('inpe',) : 1
('ceitec',) : 1
('inventors',) : 1
('bartolomeu',) : 1
('gusmão',) : 1
('landell',) : 1
('moura',) : 1
('azevedo',) : 1
('santos-dumont',) : 1
('evaristo',) : 1
('conrado',) : 1
('engelberg',) : 1
('nélio',) : 1
('nicolai',) : 1
('lattes',) : 1
('meson',) : 1
('mário',) : 1
('schenberg',) : 1
('leite',) : 1
('artur',) : 1
('1.98',) : 1
('35,496',) : 1
('184,140',) : 1
('114,419',) : 1
('114,425',) : 1
('eurico',) : 1
('dutra',) : 1
('1956–61',) : 1
('iveco',) : 1
('renault',) : 1
('peugeot',) : 1
('citroen',) : 1
('hyundai',) : 1
('30,875',) : 1
('19,185',) : 1
('19,789',) : 1
('rffsa',) : 1
('28,538',) : 1
('17,733',) : 1
('rio–são',) : 1
('paulo-guarulhos',) : 1
('solimões-',) : 1
('3,250',) : 1
('2,020',) : 1
('itajaí',) : 1
('paranaguá',) : 1
('sepetiba',) : 1
('suape',) : 1
('36,3',) : 1
('condominial',) : 1
('output-based',) : 1
('prodes',) : 1
('favela',) : 1
('sus',) : 1
('1.72',) : 1
('noncommunicable',) : 1
('151.7',) : 1
('72.7',) : 1
('hitherto',) : 1
('gazeta',) : 1
('folha',) : 1
('s.paulo',) : 1
('notícia',) : 1
('296.799',) : 1
('277.876',) : 1
('235.217',) : 1
('chateaubriand',) : 1
('sbt',) : 1
('sbtvd',) : 1
('isdb-t',) : 1
('internacional',) : 1
('22.31',) : 1
('57.8/sq',) : 1
('0.95:1',) : 1
('83.75',) : 1
('64.12',) : 1
('9,930,478',) : 1
('3.04',) : 1
('–0.29',) : 1
('11.48',) : 1
('20.30',) : 1
('24.18',) : 1
('48.43',) : 1
('43.80',) : 1
('6.84',) : 1
('536',) : 1
('indígena',) : 1
('classism',) : 1
('caboclos',) : 1
('mulatos',) : 1
('cafuzos',) : 1
('center-western',) : 1
('percents',) : 1
('tri-racials',) : 1
('paraíba',) : 1
('syncretistic',) : 1
('kardec',) : 1
('inquire',) : 1
('73.57',) : 1
('15.41',) : 1
